id,norm_pair,class
4,Customer will be required to complete the New Product/Special Order Notification and Agreement attached hereto as ATTACHMENT B for all Proprietary Products.,Customer will not be required to complete the New Product/Special Order Notification and Agreement attached hereto as ATTACHMENT B for all Proprietary Products.,1
101263,Supplier will commence such performance within five (5) calendar days of Buyer's written notice to Supplier of an Epidemic Defect Rate.,"Unless otherwise provided by local law without the possibility of contractual waiver or limitation, any legal or other action related to this Agreement must be commenced no later than two (2) years from the date on which the claim of action arose.",0
56465,Cubist shall bear the costs and expenses associated with shipping validation.,"Not more than [*] prior to the first anticipated delivery date of Licensed Product, Chiron shall submit to Cubist the first written forecast (""INITIAL FORECAST"") of the quantities of Filled Products it expects to purchase from Cubist during the succeeding [*].",0
43739,"1.50 ""TRANSFER PRICE"" shall have the meaning assigned to such term in Section 7.1(a).","No subsequent alteration, amendment, change or addition to this Supply Agreement shall be binding upon the Parties unless reduced to writing and signed by an authorized officer of each Party.",0
28874,"8.2 After the initial term of this Agreement, the duration of this Agreement shall thereafter automatically renew for an additional twelve month period except that either Novoste B.V. or AorTech may terminate the Agreement by giving ninety (90) days prior written notice of termination, such termination to be effective at the end of the relevant twelve month period.","23.3 AorTech warrants its right under this Agreement to convey the Product and that the Product is and will continue to be, upon delivery from AorTech, free of all liens and encumbrances.",0
118829,Topps will reimburse Hershey for all of its outofpocket expenses for Hershey's actual capital expense and capital costs for installing the machinery provided by Topps.,"(i) Hershey and Topps will not use or commercially exploit for its own benefit or the benefit of others any Confidential Information, nor will the receiving party disclose any Confidential Information to any person, firm or corporation except (i) employees of the receiving party who have a need to know such 17 Confidential Information and who have been informed of the receiving party's obligations hereunder, and (ii) contractors or consultants under contract to the receiving party who have a need to know such Confidential Information, who have been approved by the disclosing party in advance of any disclosure of Confidential Information, and who have been informed of the receiving party's obligations hereunder, unless the information: 1. was known to the receiving party prior to disclosure by the disclosing party; or 2. was publicly available at the time of the disclosure to the receiving party; or 3. subsequently becomes publicly available through no fault of the receiving party; or 4. is rightfully acquired by the receiving party subsequent to disclosure by the disclosing party from a third party who is not in breach of a confidential relationship to the disclosing party with regard to such information; or 5. is independently developed by the receiving party and the receiving party shall have the obligation of proving independent development.",0
99080,"Supplier will not make any changes to the form, fit or function of the Products without Buyer's prior written consent, such consent not to be withheld unreasonably.","Supplier will make any changes to the form, fit or function of the Products without Buyer's prior written consent, such consent not to be withheld unreasonably.",1
166478,"CoPacker may restrict access by WWI's representatives to only those areas where the Products and ingredients and materials for the Products are processed, tested, or stored.","If a court of competent jurisdiction rules that any provision set forth in this Agreement is unenforceable, then such provision shall be deemed modified to the extent that, in the court's opinion, is necessary to make it enforceable.",0
121316,"Topps shall have no right to use any of Hershey's marks, names, other trade identities, copyrighted works or other intellectual property except to the extent that Hershey has incorporated its own intellectual property in or used in the manufacture of the Product or Packaged Product supplied by Hershey to Topps.","Beginning on December 31, 1998 and on each December 31 thereafter, the Extended Term shall automatically be extended for an additional term of one (1) year so that there are always five (5) years remaining in the term, unless either party delivers notice, at least thirty (30) days prior to any such December 31, of its desire to terminate this Agreement at the end of the then current five (5) year term.",0
77954,Ligand shall be permitted to send a representative to inventory API at Cardinal Health upon reasonable prior notice and not more than once in any 12month period.,Ligand may be permitted to send a representative to inventory API at Cardinal Health upon reasonable prior notice and not more than once in any 12month period.,1
